Function1Type,Function2Type,ExpectedOutputType,Function1xValues,Function1yValues,Function2xValues,Function2yValues,ExpectedxValues,ExpectedyValues,comments: Composition_Testing_All_Ranges.xlsx
2,3,4,100 101 105 120 150,10 12 15 25 62,10 12 15 25 62,50 52 54 70 90,100 101 105 120 150,50 52 54 70 90, ****  Test 21 ****
2,3,4,100 101 102 103 104 105 106 107,10 12 15 61 62 63 64 65,10 12 15 60 65,50 51 52 53 54,100 101 102 102.9783 103 104 105 106 107,50 51 52 53 53.2 53.4 53.6 53.8 54, ****  Test 20  ****
2,3,4,100 101 102 103 104,10 12 15 60 65,10 12 15 61 62 63 64 65,50 51 52 53 54 55 56 57,100 101 102 103 103.2 103.4 103.6 103.8 104,50 51 52 52.9782 53 54 55 56 57, ****  Test 19  ****
2,3,4,100 101 102 103 104 105 106 107 108 109,10 12 15 61 62 63 64 66 67 68,10 12 15 60 65,50 51 52 53 54,100 101 102 102.9783 103 104 105 106 106.5,50 51 52 53 53.2 53.4 53.6 53.8 54, ****  Test 18  ****
2,3,4,100 101 102 103 104,10 12 15 60 65,10 12 15 61 62 63 64 66 67 68,50 51 52 53 54 55 56 57 58 59,100 101 102 103 103.2 103.4 103.6 103.8 104,50 51 52 52.9782 53 54 55 56 56.5, ****  Test 17  ****
2,3,4,100 101 102 103 104 105 106,10 12 15 61 62 63 64,10 12 15 60 65,50 51 52 53 54,100 101 102 102.9783 103 104 105 106,50 51 52 53 53.2 53.4 53.6 53.8, ****  Test 16  ****
2,3,4,100 101 102 103 104,10 12 15 60 65,10 12 15 61 62 63 64,50 51 52 53 54 55 56,100 101 102 103 103.2 103.4 103.6 103.8,50 51 52 52.9782 53 54 55 56, ****  Test 15  ****
2,3,4,.2 .3 .4 .5 .6 .7 .8 .9,11 12 13 14 15 16 17 18,10 11 12 13 14 15 16 17 18 19,0 1 2 3 4 5 6 7 8 9,.2 .3 .4 .5 .6 .7 .8 .9,1 2 3 4 5 6 7 8, ****  Test 6  ****
2,3,4,.1 .2 .3 .4 .5 .6 .7 .8 .9 1,10 12 14 16 18 20 22 24 26 28,7 8 9 11 13 15 17 19 21 23,0 1 2 3 4 5 6 7 8 9,.1 .15 .2 .25 .3 .35 .4 .45 .5 .55 .6 .65 .7 .75,2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9, ****  Test 8  **** - it is not picking up the last point
2,3,4, 99 100 101,0 5 7,1 3 6 8,50 51 52 53,99.2 99.6 100 100.5 101,50 51 51.666 52 52.5, **** Test 13  ****
2,3,4,.2 .3 .4 .5 .6 .7 .8 .9,12 14 16 18 20 22 24 26,11 13 15 17 19 21 23 25 27 29,0 1 2 3 4 5 6 7 8 9,.2 .25 .3 .35 .4 .45 .5 .55 .6 .65 .7 .75 .8 .85 .9,.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5, ****  Test 12  ****
2,3,4,.1 .2 .3 .4 .5 .6 .7 .8 .9 1,10 11 12 13 14 15 16 17 18 19,7 8 9 10 11 12 13 14 15 16,0 1 2 3 4 5 6 7 8 9,.1 .2 .3 .4 .5 .6 .7,3 4 5 6 7 8 9, ****  Test 2  ****
2,3,4,.1 .2 .3 .4 .5 .6 .7 .8 .9 1,10 11 12 13 14 15 16 17 18 19,11 12 13 14 15 16 17 18,1 2 3 4 5 6 7 8,.2 .3 .4 .5 .6 .7 .8 .9,1 2 3 4 5 6 7 8, ****  Test 3   ****
2,3,4,.1 .2 .3 .4 .5 .6 .7 .8 .9 1,10 11 12 13 14 15 16 17 18 19,13 14 15 16 17 18 19 20 21 22,0 1 2 3 4 5 6 7 8 9,.4 .5 .6 .7 .8 .9 1,0 1 2 3 4 5 6, ****  Test 4  ****
2,3,4,.1 .2 .3 .4 .5 .6 .7 .8 .9 1,10 12 14 16 18 20 22 24 26 28,13 15 17 19 21 23 25 29 31 33,0 1 2 3 4 5 6 7 8 9,.25 .3 .35 .4 .45 .5 .55 .6 .65 .7 .75 .8 .85 .9 1,0 .5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.25 6.75, ****  Test 10  ****
2,3,4,100 101 102 103 104,4 5 8 9 10,0 1 2 3 6 7,50 51 52 53 54 55,100 101 101.333 101.666,53.333 53.666 54 55, **** Test 14  **** failing
